Product ID,Product Name,Category,Gender,Season,Style,Occasion,Color,Material,Price,Sizes,Description,Matching Suggestions,Uri
1,Beige Oversized Blazer,Blazer,Female,Spring / Autumn,"Smart casual, minimal","Presentation, office, campus event",Beige,Cotton blend,HKD 499,"S, M, L",A clean and elegant oversized blazer suitable for smart casual and semi-formal occasions.,Pairs well with white innerwear and straight-leg trousers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/1.jpg
2,Stone Belted Trench Coat,Trench Coat,Female,Spring / Autumn,"Classic, urban","Commute, weekend outing, travel",Stone,Water-resistant polyester,HKD 699,"S, M, L",A lightweight belted trench coat that adds a polished layer for transitional weather.,"Style it with a striped tee, slim jeans, and loafers.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/2.jpg
3,Dusty Rose Soft Cardigan,Cardigan,Female,Spring / Autumn,"Soft casual, feminine","Campus, cafe date, daily wear",Dusty Rose,Viscose knit,HKD 359,"S, M, L",A soft-touch cardigan with a relaxed fit for easy layering in mild temperatures.,"Matches nicely with a camisole, pleated skirt, and ballet flats.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/3.jpg
4,Olive Ribbed Knit Dress,Knit Dress,Female,Autumn / Winter,"Elegant, cozy","Dinner, office, gathering",Olive,Rayon blend,HKD 469,"S, M, L",A ribbed knit dress that flatters the body while keeping the look warm and refined.,Pair it with ankle boots and a long wool coat.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/4.jpg
5,Navy Pleated Midi Skirt,Pleated Skirt,Female,Spring / Autumn,"Graceful, versatile","Office, brunch, museum visit",Navy,Polyester chiffon,HKD 329,"S, M, L",A flowing pleated midi skirt designed for movement and easy styling across occasions.,Wear it with a tucked-in blouse and low heels.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/5.jpg
6,Ivory Wide-Leg Trousers,Wide-Leg Trousers,Female,Spring / Summer,"Modern, minimal","Office, meeting, smart casual event",Ivory,Polyester blend,HKD 389,"S, M, L, XL",Tailored wide-leg trousers with a clean drape for a relaxed yet elevated silhouette.,Goes well with a fitted knit top and block-heel sandals.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/6.jpg
7,Sky Blue Linen Shirt,Linen Shirt,Female,Spring / Summer,"Effortless, clean","Vacation, office casual, weekend",Sky Blue,Linen,HKD 299,"S, M, L","A breathable linen shirt with a crisp feel, perfect for warm-weather layering.",Pair it with white shorts or straight jeans for a fresh look.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/7.jpg
8,Light Wash Cropped Denim Jacket,Denim Jacket,Female,Spring / Autumn,"Casual, youthful","Campus, concert, city stroll",Light Blue,Cotton denim,HKD 429,"S, M, L",A cropped denim jacket that adds structure and a playful edge to everyday outfits.,Layer it over a floral dress or tank top with sneakers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/8.jpg
9,Cream Fleece Hoodie,Hoodie,Female,Autumn / Winter,"Relaxed, sporty","Travel, home, casual outing",Cream,Cotton fleece,HKD 279,"S, M, L",A warm fleece hoodie with a soft brushed interior for cozy daily wear.,"Best matched with leggings, joggers, or denim shorts.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/9.jpg
10,Charcoal Utility Jumpsuit,Jumpsuit,Female,Spring / Autumn,"Contemporary, utilitarian","Art fair, weekend outing, casual office",Charcoal,Cotton twill,HKD 559,"S, M, L",A one-piece utility jumpsuit combining practical details with a sleek modern shape.,Style it with white sneakers and a compact crossbody bag.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/10.jpg
11,Forest Green Polo Dress,Polo Dress,Female,Spring / Summer,"Preppy, sporty","Campus, casual Friday, picnic",Forest Green,Cotton pique,HKD 369,"S, M, L",A comfortable polo dress that blends sporty texture with a neat everyday profile.,Pair with canvas sneakers and a light cardigan.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/11.jpg
12,Champagne Satin Camisole,Camisole,Female,Spring / Summer,"Elegant, minimal","Date night, layering, dinner",Champagne,Polyester satin,HKD 239,"S, M, L",A smooth satin camisole with a subtle sheen for refined layering or standalone styling.,Looks polished with high-waist trousers and a cropped blazer.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/12.jpg
13,Khaki Hooded Parka,Parka,Female,Autumn / Winter,"Functional, casual","Travel, rainy day, weekend errand",Khaki,Nylon blend,HKD 749,"S, M, L",A hooded parka designed for light protection and everyday urban practicality.,"Works well with knitwear, jeans, and lace-up boots.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/13.jpg
14,Lavender Cropped Sweater,Cropped Sweater,Female,Autumn / Winter,"Playful, cozy","Campus, coffee meetup, casual date",Lavender,Acrylic blend,HKD 319,"S, M, L",A cropped sweater with a soft hand feel that brings a light and cheerful tone to cold days.,Pair it with a high-rise skirt or wide-leg jeans.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/14.jpg
15,White Chiffon Blouse,Blouse,Female,Spring / Summer,"Refined, airy","Office, presentation, formal lunch",White,Polyester chiffon,HKD 289,"S, M, L",An airy chiffon blouse with a graceful drape for polished daywear.,Tuck it into tailored pants or a pencil skirt.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/15.jpg
16,Black High-Waist Pencil Skirt,Pencil Skirt,Female,All Season,"Professional, sleek","Office, interview, business event",Black,Stretch ponte,HKD 349,"S, M, L",A high-waist pencil skirt that creates a sharp and flattering office-ready silhouette.,Combine it with a silk blouse and pointed flats.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/16.jpg
17,Sand Lightweight Utility Vest,Utility Vest,Female,Spring / Autumn,"Outdoor casual, practical","Travel, festival, weekend outing",Sand,Cotton blend,HKD 309,"S, M, L",A lightweight utility vest with functional pockets for layering in active settings.,Layer over a tee dress or long-sleeve top with cargo pants.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/17.jpg
18,Wine Quilted Jacket,Quilted Jacket,Female,Autumn / Winter,"Casual chic, warm","Weekend, market visit, commute",Wine,Polyester quilt,HKD 489,"S, M, L","A quilted jacket that offers warmth without bulk, finished in a rich seasonal shade.",Pair it with straight jeans and a ribbed turtleneck.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/18.jpg
19,Camel Slim Turtleneck Top,Turtleneck Top,Female,Autumn / Winter,"Minimal, polished","Office, layering, daily wear",Camel,Modal blend,HKD 219,"S, M, L",A slim turtleneck top ideal for layering under outerwear or knitwear in cooler months.,"Style with a midi skirt, trousers, or sleeveless dress.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/19.jpg
20,Mid Blue Straight Jeans,Straight Jeans,Female,All Season,"Casual, timeless","Daily wear, shopping, casual meetup",Mid Blue,Cotton denim,HKD 399,"XS, S, M, L",Straight-cut jeans with a balanced silhouette that work across seasons and trends.,"Pairs easily with tees, blouses, and ankle boots.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/20.jpg
21,Rust Floral Wrap Dress,Wrap Dress,Female,Spring / Summer,"Romantic, feminine","Brunch, date, garden party",Rust,Viscose,HKD 459,"S, M, L",A floral wrap dress that highlights the waist and brings movement to warm-weather dressing.,Wear it with strappy sandals and a woven handbag.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/21.jpg
